Clientes,Num Compras,Num Pagos,Num Variedades,Precio Promedio V1,Precio Promedio V2,Precio Promedio V3
1,8,17,1,5,3,23
2,9,40,9,4,87,1
3,3,99,5,3,30,73
4,38,29,9,4,59,41
5,66,84,10,3,94,73
6,57,32,2,2,16,47
7,45,60,2,3,50,9
8,78,81,3,3,54,45
9,58,2,3,2,13,84
10,75,80,9,3,3,19
11,87,59,3,5,88,4
12,17,59,2,3,26,8
13,34,6,4,4,46,76
14,24,95,0,5,78,59
15,15,70,7,4,88,9
16,23,42,9,2,11,28
17,44,78,9,3,49,24
18,57,14,0,2,92,46
19,5,37,8,4,82,15
20,56,12,8,5,83,1
21,100,23,0,5,73,46
22,22,15,7,5,10,47
23,99,75,9,5,46,81
24,62,26,1,4,44,57
25,88,24,7,2,49,90
26,4,43,10,2,50,47
27,38,83,9,5,39,36
28,0,91,2,5,67,85
29,53,23,0,2,16,24
30,16,31,1,3,88,65
31,28,94,0,4,25,72
32,25,50,10,2,55,71
33,17,97,3,2,13,57
34,16,14,10,5,73,37
35,12,63,9,4,90,62
36,92,54,3,5,11,98
37,93,37,9,5,64,67
38,28,75,9,2,67,2
39,69,97,3,4,24,44
40,4,29,9,4,89,10
41,39,50,1,5,17,40
42,45,41,6,5,18,18
43,5,11,8,3,9,34
44,48,82,7,3,58,93
45,73,13,6,3,83,8
46,83,25,6,3,70,80
47,1,72,7,3,71,77
48,43,50,2,5,67,98
49,32,3,6,2,12,98
50,33,42,8,5,71,4
51,91,51,3,5,95,60
52,6,82,1,3,22,75
53,42,54,9,4,65,57
54,69,18,5,5,45,81
55,22,18,8,3,43,29
56,2,39,9,2,13,46
57,85,44,2,5,33,77
58,42,15,3,3,60,17
59,52,3,1,4,8,46
60,0,84,6,3,100,15
61,73,85,6,4,75,25
62,97,71,3,3,38,70
63,74,15,6,3,78,94
64,62,78,6,3,89,58
65,4,94,8,3,20,93
66,4,56,4,3,32,77
67,37,35,8,3,20,83
68,10,98,10,5,38,86
69,37,25,8,3,40,99
70,10,66,9,4,36,93
71,62,4,5,2,40,21
72,15,62,0,3,14,93
73,50,23,0,5,43,5
74,66,26,1,5,23,11
75,37,58,1,4,77,37
76,79,7,7,5,7,53
77,25,6,2,3,24,85
78,69,12,0,5,97,42
79,32,54,9,3,36,84
80,30,26,6,5,28,54
81,87,17,3,2,84,31
82,67,58,8,5,77,27
83,80,30,2,5,44,79
84,55,57,6,3,60,4
85,92,66,10,4,9,51
86,9,62,10,5,51,94
87,30,81,7,2,3,92
88,59,66,7,2,38,57
89,55,2,2,2,44,74
90,26,56,10,4,90,95
91,81,69,8,2,30,84
92,95,3,1,3,1,30
93,58,73,2,5,36,20
94,69,58,9,2,42,97
95,0,26,1,5,83,86
96,98,85,6,2,92,17
97,35,91,6,3,74,21
98,82,97,5,5,51,75
99,1,69,0,2,83,10
100,74,63,3,4,33,53
101,85,3,2,2,80,30
102,41,26,4,4,79,4
103,59,43,3,3,47,14
104,1,27,10,3,53,59
105,100,66,8,4,79,93
106,11,97,0,2,73,41
107,78,68,10,4,44,55
108,69,67,9,5,46,32
